Gene	mat_SRR364453	pat_SRR364453	pat_SRR364454	mat_SRR364454	mat_SRR415002	pat_SRR415002	pat_SRR415003	mat_SRR415003
AC209987.4_FG002	23	1	1	2	23	1	1	2
AC210003.2_FG004	7	3	32	29	6	2	30	28
AC210003.2_FG015	0	1	0	0	0	1	0	0
AC210013.4_FG002	1	32	2	45	1	32	2	42
AC210013.4_FG003	211	5	63	10	198	5	63	9
AC210013.4_FG007	0	6	0	24	0	6	0	23
AC210013.4_FG008	265	94	161	195	254	92	156	192
AC210013.4_FG009	158	61	69	85	152	56	69	84
AC210013.4_FG011	450	286	267	571	432	275	256	549
AC210013.4_FG012	12	5	5	21	11	5	5	17
AC210013.4_FG013	43	18	26	58	42	17	25	55
AC210013.4_FG014	3	0	0	0	3	0	0	0
AC210013.4_FG016	208	87	101	151	204	85	98	144
AC210013.4_FG017	3	0	2	0	3	0	2	0
AC210013.4_FG018	1093	31	560	78	1031	30	532	77
AC210013.4_FG019	8533	4338	4005	6892	8155	4143	3842	6642
AC210023.3_FG014	15	15	20	19	14	15	20	19
AC210050.3_FG006	7	0	3	0	7	0	3	0
AC210158.3_FG004	12	1	6	7	12	1	6	7
AC210163.3_FG005	0	1	0	0	0	1	0	0
AC210173.4_FG002	11	19	13	29	10	16	12	29
AC210173.4_FG005	46	4	19	16	45	3	18	15
AC210193.4_FG002	68	0	3	42	63	0	2	39
AC210204.3_FG002	15	7	14	41	13	6	13	33
AC210254.4_FG001	0	1	0	0	0	0	0	0
AC210314.3_FG006	22	37	9	55	21	35	9	53
AC210422.3_FG009	1	0	2	1	1	0	2	1
AC210517.3_FG003	0	1	0	6	0	1	0	5
AC210595.3_FG004	11	5	5	10	11	5	5	10
AC210598.3_FG003	0	1	0	2	0	1	0	2
AC210669.3_FG001	19	31	50	202	18	31	44	195
AC210816.3_FG006	7	23	26	54	7	21	26	50
AC211164.5_FG003	84	10	37	5	80	10	36	3
AC211164.5_FG004	5	0	1	0	5	0	1	0
AC211175.3_FG005	180	145	111	294	173	136	108	284
AC211192.3_FG003	32	0	0	62	31	0	0	60
AC211257.3_FG002	4	0	0	0	4	0	0	0
AC211276.4_FG008	295	232	302	525	289	221	284	510
AC211325.4_FG003	0	1	0	0	0	1	0	0
AC211357.4_FG004	186	58	86	121	172	55	83	117
AC211390.3_FG001	11	9	5	20	11	8	5	20
AC211403.4_FG005	1	11	57	0	1	11	54	0
AC211474.3_FG006	152	4	118	9	144	3	114	9
AC211585.3_FG004	1	0	0	0	1	0	0	0
AC211652.4_FG002	80	44	43	77	76	42	40	75
AC211658.4_FG002	1	0	0	0	1	0	0	0
AC211737.3_FG012	23	26	30	37	21	26	29	36
AC211764.3_FG010	14	0	6	0	14	0	4	0
AC211892.4_FG002	94	0	50	0	90	0	46	0
AC211910.4_FG005	3	5	0	9	3	5	0	8
AC212023.4_FG006	12	5	22	2	12	4	21	2
AC212565.3_FG001	3839	1881	2856	5420	3613	1794	2710	5199
AC212570.3_FG006	450	192	260	304	413	179	249	294
AC212754.3_FG004	1	2	2	1	1	2	2	1
AC212835.3_FG001	14	38	9	65	13	35	9	62
AC212835.3_FG007	222	141	176	265	209	137	170	242
AC212835.3_FG008	2	3	2	7	2	3	2	7
AC212859.3_FG007	13	10	18	53	13	10	18	51
AC212887.3_FG005	4	0	1	0	4	0	1	0
AC212967.3_FG001	0	1	0	1	0	1	0	1
AC213050.3_FG002	1	0	0	0	1	0	0	0
AC213099.3_FG001	617	265	361	473	596	259	340	459
AC213099.3_FG002	320	78	164	197	308	75	157	186
AC213463.3_FG002	715	370	336	841	684	350	320	809
AC213463.3_FG004	30	4	27	26	29	3	25	24
AC213463.3_FG007	555	1	255	0	530	1	245	0
AC213463.3_FG009	47	23	45	76	46	23	43	74
AC213521.3_FG005	62	25	35	45	56	23	35	42
AC213600.3_FG002	729	684	598	1433	697	649	568	1381
AC213621.5_FG002	29	27	11	40	27	25	11	39
AC213621.5_FG004	31	38	61	51	30	33	59	49
AC213654.3_FG003	101	42	56	73	93	41	54	71
AC213654.3_FG004	0	1	0	0	0	1	0	0
AC213670.4_FG004	0	1	0	1	0	1	0	1
AC213800.3_FG001	2	1	1	3	1	1	1	3
AC213884.3_FG001	1114	684	699	1454	1065	653	662	1387
AC213884.3_FG002	5	2	2	16	4	1	2	16
AC214040.3_FG009	8	2	9	2	8	2	8	2
AC214046.4_FG005	18	1	0	1	16	1	0	1
AC214119.3_FG009	1228	416	660	894	1173	397	632	857
AC214168.3_FG001	2	0	0	0	2	0	0	0
AC214256.3_FG005	1	0	0	2	1	0	0	2
AC214350.3_FG007	2314	1136	1078	2059	2170	1082	1008	1979
AC214359.3_FG003	1	0	0	0	1	0	0	0
AC214448.3_FG007	48	35	20	74	47	35	20	67
AC214524.3_FG002	4	0	0	2	4	0	0	2
AC214602.3_FG012	129	174	88	254	122	172	87	247
AC214635.3_FG002	47	21	28	39	45	19	26	38
AC214640.3_FG003	365	131	220	283	353	125	214	270
AC214648.3_FG001	0	4	0	7	0	4	0	5
AC214648.3_FG003	1257	337	779	734	1181	325	749	711
AC214771.3_FG003	3	1	2	5	2	1	2	4
AC214817.3_FG004	443	172	262	489	430	167	252	469
AC215181.3_FG004	3	0	1	1	3	0	1	1
AC215195.3_FG005	0	7	0	9	0	7	0	7
AC215198.3_FG002	25	27	29	54	23	26	25	53
AC215201.3_FG005	1168	2842	503	4129	1107	2707	487	3976
AC215201.3_FG008	1	0	0	1	1	0	0	1
AC215244.3_FG002	2692	1452	1248	2610	2558	1382	1200	2503
AC215260.3_FG001	73	8	78	11	70	8	73	11
AC215260.3_FG004	483	428	274	497	453	401	263	474
AC215309.3_FG004	2	0	3	1	2	0	3	1
AC215639.3_FG002	1	0	0	0	1	0	0	0
AC215690.3_FG002	243	137	177	268	233	130	173	254
AC215907.3_FG003	3	0	3	1	3	0	3	1
AC216067.3_FG002	286	145	149	279	273	132	141	267
AC216201.3_FG005	2	0	0	0	2	0	0	0
AC216229.3_FG002	22	0	0	1	21	0	0	1
