Gene	mat_SRR396678	pat_SRR396678	pat_SRR396679	mat_SRR396679
AC218972.3_FG001	405	231	130	253
AC218972.3_FG002	2	0	2	0
AC218972.3_FG004	63	46	19	25
AC218972.3_FG007	0	1	0	1
AC219006.2_FG006	11	3	7	11
AC219006.2_FG007	4	0	0	2
AC219156.3_FG002	15	0	5	0
AC219190.3_FG002	4	2	3	2
AC225147.4_FG003	4	4	5	5
AC225176.2_FG003	3	6	1	10
AC225185.3_FG004	103	82	30	76
AC225193.3_FG003	85	26	22	21
AC225193.3_FG004	7	1	0	5
AC225205.3_FG003	26	19	11	12
AC225346.3_FG001	0	1	0	1
AC225359.3_FG006	1	0	0	1
AC225716.2_FG003	0	1	0	0
AC225790.2_FG003	0	1	0	0
AC226230.2_FG001	22	13	6	6
AC226235.2_FG001	2	1	45	74
AC226235.2_FG002	1914	453	491	456
AC226235.2_FG003	1	3	0	2
AC226248.1_FG002	1	2	3	6
AC226373.2_FG010	0	23	8	0
AC229993.1_FG009	5	3	0	4
AC230011.2_FG002	1	0	0	1
AC230013.2_FG002	2	4	1	3
AC230013.2_FG007	5697	2987	2479	4375
AC231180.2_FG006	6	1	13	9
AC231411.1_FG011	17	1	6	4
AC231745.1_FG003	16	35	8	34
AC231745.1_FG004	217	50	87	36
AC231747.1_FG001	289	159	83	181
AC232238.2_FG005	1	0	0	0
AC232238.2_FG008	12	5	2	5
AC232393.1_FG009	11	6	5	5
AC233850.1_FG002	277	101	55	120
AC233850.1_FG003	3	0	4	4
AC233851.1_FG008	1	1	0	1
AC233851.1_FG009	42	26	8	37
AC233851.1_FG010	1	0	0	7
AC233851.1_FG011	0	5	0	0
AC233854.1_FG002	1	0	0	0
AC233865.1_FG006	62	30	26	46
AC233866.1_FG006	4219	1929	1182	1875
AC233870.1_FG003	77	58	20	69
AC233870.1_FG004	24	9	6	12
AC233870.1_FG006	672	360	231	424
AC233882.1_FG005	2	0	1	0
AC233883.1_FG006	36	20	18	42
AC233885.1_FG001	791	269	307	358
AC233885.1_FG002	9	8	1	2
AC233887.1_FG006	234	109	56	149
AC233892.1_FG001	10	8	0	5
AC233893.1_FG002	41	18	4	12
AC233893.1_FG003	3	1	0	0
AC233893.1_FG006	2	0	0	2
AC233894.1_FG005	3	2	2	3
AC233898.1_FG003	23	7	23	22
AC233899.1_FG002	78	0	6	4
AC233899.1_FG005	5	0	2	3
AC233901.1_FG004	2	0	0	0
AC233901.1_FG005	35	11	42	27
AC233901.1_FG010	30	18	6	6
AC233910.1_FG002	63	38	12	42
AC233922.1_FG004	19	35	19	45
AC233922.1_FG005	197	194	87	109
AC233922.1_FG008	0	1	0	0
AC233939.1_FG004	3	15	0	12
AC233942.1_FG001	120	32	47	41
AC233952.1_FG006	21	8	13	19
AC233952.1_FG008	24	4	7	12
AC233955.1_FG008	2	0	0	2
AC233955.1_FG009	2	0	0	0
AC233960.1_FG002	3	0	1	1
AC233960.1_FG003	1	0	0	0
AC233961.1_FG001	20	96	27	38
AC233967.1_FG001	168	37	69	79
AC233979.1_FG006	201	100	62	137
AC234152.1_FG002	0	1	1	0
AC234152.1_FG005	7	3	0	0
AC234154.1_FG007	36	31	16	37
AC234154.1_FG008	139	14	28	12
AC234156.1_FG005	60	56	29	100
AC234157.1_FG002	27	19	13	17
AC234157.1_FG003	4	0	0	0
AC234160.1_FG003	29	0	3	0
AC234164.1_FG004	12	2	2	3
AC234171.1_FG003	6	4	0	1
AC234175.1_FG010	68	23	20	18
AC234183.1_FG002	29	22	10	27
AC234199.1_FG003	3	2	1	0
AC234515.1_FG003	121	96	32	101
AC234520.1_FG003	0	1	0	1
AC234520.1_FG005	106	78	31	81
AC234524.1_FG005	4	1	2	1
AC234526.1_FG005	0	1	1	5
AC234528.1_FG001	40	3	16	2
AC234528.1_FG004	57	123	20	157
AC234528.1_FG005	1391	604	526	907
AC235534.1_FG007	3	4	2	3
AC235535.1_FG001	539	271	186	350
AC235541.1_FG002	19	4	9	7
AC235543.1_FG002	11	0	0	1
AC235543.1_FG003	207	81	71	104
AC235544.1_FG004	110	46	24	62
AC235546.1_FG001	23	15	3	12
AC235547.1_FG005	48	20	8	13
AF466202.2_FG008	8	1	5	3
AF546187.1_FG007	54	44	526	2224
AF546187.1_FG011	2	0	0	0
AF546187.1_FG012	1	1	4	1
AF546188.1_FG001	119	39	183	531
AF546188.1_FG005	1131	41	1629	218
AY530952.1_FG001	2	2	0	0
AY542798.1_FG003	33	11	15	19
EF517601.1_FG010	18	4	4	6
EF517601.1_FG012	1478	812	403	907
EF517601.1_FG015	13	2	3	5
GRMZM2G000014	61	26	8	25
GRMZM2G000039	193	82	54	86
GRMZM2G000052	4	4	0	8
GRMZM2G000093	63	22	8	31
GRMZM2G000126	1	0	0	0
GRMZM2G000158	87	15	29	52
GRMZM2G000171	124	102	57	239
GRMZM2G000209	4	0	0	0
GRMZM2G000219	20	3	2	0
GRMZM2G000231	49	118	9	31
GRMZM2G000236	31	17	72	153
GRMZM2G000245	182	190	40	140
GRMZM2G000254	14	14	6	6
GRMZM2G000261	1	0	0	4
GRMZM2G000268	3	0	2	0
GRMZM2G000278	939	462	411	934
GRMZM2G000280	15	119	8	148
GRMZM2G000281	0	31	0	19
GRMZM2G000292	4	37	1	31
GRMZM2G000339	135	157	64	225
GRMZM2G000361	190	58	136	45
GRMZM2G000371	24	11	5	15
GRMZM2G000380	0	3	0	2
GRMZM2G000397	1171	675	421	1483
GRMZM2G000404	0	39	12	0
GRMZM2G000423	1	0	0	0
GRMZM2G000451	14	8	5	13
GRMZM2G000453	24	5	11	8
GRMZM2G000481	336	79	119	77
GRMZM2G000489	20	2	6	1
GRMZM2G000510	477	191	192	260
GRMZM2G000531	2031	939	563	985
GRMZM2G000540	106	35	42	56
GRMZM2G000566	5	0	1	1
GRMZM2G000576	6	5	3	1
GRMZM2G000581	55	15	18	7
GRMZM2G000587	8	7	9	13
GRMZM2G000593	14	13	7	13
GRMZM2G000601	2	1	1	0
GRMZM2G000614	17	12	6	7
GRMZM2G000615	175	88	51	80
GRMZM2G000620	9	0	0	0
GRMZM2G000633	7	5	1	2
GRMZM2G000650	2	1	0	3
GRMZM2G000660	14	1	8	1
GRMZM2G000665	3	1	2	0
GRMZM2G000674	31	14	9	18
GRMZM2G000679	5	3	0	0
GRMZM2G000686	238	108	99	129
GRMZM2G000710	543	288	198	338
GRMZM2G000718	432	220	77	198
GRMZM2G000741	387	209	92	155
GRMZM2G000749	1	0	0	0
GRMZM2G000764	0	8	0	0
GRMZM2G000777	224	164	96	208
GRMZM2G000816	5	1	0	4
GRMZM2G000823	746	396	267	429
GRMZM2G000874	83	0	27	0
GRMZM2G000909	37	17	13	12
GRMZM2G000923	9930	4577	3009	4733
GRMZM2G000932	0	7	0	4
GRMZM2G000937	99	39	32	28
GRMZM2G000964	18	6	6	13
GRMZM2G000973	43	4	11	18
GRMZM2G000976	70	36	11	46
GRMZM2G000980	161	66	56	119
GRMZM2G001024	242	71	74	89
GRMZM2G001033	207	109	30	98
GRMZM2G001048	60	36	11	24
GRMZM2G001079	12	1	13	22
GRMZM2G001088	491	240	127	281
GRMZM2G001097	14	6	6	5
GRMZM2G001106	2	1	1	0
GRMZM2G001114	96	64	27	39
GRMZM2G001116	3	1	1	1
GRMZM2G001160	36	26	10	13
GRMZM2G001169	5	5	3	13
GRMZM2G001191	333	148	85	126
GRMZM2G001221	356	273	206	535
