Gene	mat_SRR924077	pat_SRR924077	pat_SRR924078	mat_SRR924078
AC211892.4_FG002	62	0	38	0
AC211910.4_FG005	1	4	0	4
AC211996.4_FG002	3	0	11	0
AC212023.4_FG006	10	0	0	1
AC212040.2_FG002	0	1	0	14
AC212209.2_FG010	6	0	0	0
AC212323.4_FG005	1	0	0	0
AC212565.3_FG001	11349	2291	3063	5265
AC212565.3_FG002	0	4	0	0
AC212570.3_FG006	660	301	380	520
AC212754.3_FG004	7	2	5	1
AC212755.4_FG002	0	2	0	0
AC212835.3_FG001	7	18	5	31
AC212835.3_FG007	252	186	125	379
AC212835.3_FG008	0	1	0	6
AC212859.3_FG007	0	8	5	23
AC212967.3_FG001	1	0	0	4
AC213099.3_FG001	209	102	33	151
AC213099.3_FG002	765	163	320	368
AC213463.3_FG002	546	414	212	904
AC213463.3_FG004	14	0	11	5
AC213463.3_FG007	461	0	307	0
AC213463.3_FG009	23	20	19	19
AC213521.3_FG005	56	8	61	58
AC213600.3_FG002	476	320	157	440
AC213612.3_FG002	1	0	0	0
AC213621.5_FG002	9	12	6	20
AC213621.5_FG004	11	37	16	45
AC213654.3_FG003	82	38	29	80
AC213654.3_FG004	2	0	0	4
AC213800.3_FG001	1	0	1	0
AC213884.3_FG001	486	356	293	834
AC213884.3_FG002	12	6	4	13
AC214040.3_FG009	1	0	1	0
AC214119.3_FG009	408	157	259	542
AC214350.3_FG007	1195	539	647	1721
AC214448.3_FG007	282	105	63	496
AC214524.3_FG002	91	0	13	10
AC214602.3_FG012	19	28	13	40
AC214635.3_FG002	3	2	6	13
AC214640.3_FG003	423	160	233	277
AC214648.3_FG003	1173	245	344	810
AC214771.3_FG003	9	0	4	12
AC214817.3_FG004	226	139	155	355
AC215195.3_FG005	0	8	0	15
AC215198.3_FG002	70	47	18	72
AC215201.3_FG005	172	674	213	1540
AC215244.3_FG002	2660	1523	1648	4519
AC215260.3_FG001	65	16	15	17
AC215260.3_FG004	46	47	35	48
AC215309.3_FG001	2	0	0	0
AC215690.3_FG002	185	78	77	199
AC215907.3_FG003	6	0	1	0
